(60, 6) , (0, 0) , 0
(74, 37) , (0, 0) , 0
(54, 50) , (0, 0) , 0
(72, 56) , (0, 0) , 0
(88, 74) , (0, 0) , 0
(62, 34) , (0, 0) , 0
(82, 24) , (0, 0) , 0
(85, 9) , (0, 0) , 0
(13, 34) , (0, 0) , 0
(55, 34) , (0, 0) , 0
(38, 48) , (0, 0) , 0
(1, 72) , (0, 0) , 0
(29, 38) , (0, 0) , 0
(94, 69) , (0, 0) , 0
(90, 54) , (0, 0) , 0
(33, 75) , (0, 0) , 0
(43, 24) , (0, 0) , 0
(22, 35) , (0, 0) , 0
(42, 19) , (0, 0) , 0
(89, 78) , (0, 0) , 0
(18, 54) , (0, 0) , 0
(20, 68) , (0, 0) , 0
(95, 55) , (0, 0) , 0
(66, 83) , (0, 0) , 0
(87, 11) , (0, 0) , 0
(44, 84) , (0, 0) , 0
(8, 83) , (0, 0) , 0
(21, 95) , (0, 0) , 0
(74, 59) , (0, 0) , 0
(50, 79) , (0, 0) , 0
(66, 6) , (0, 0) , 0
(89, 67) , (0, 0) , 0
(62, 1) , (0, 0) , 0
(28, 62) , (0, 0) , 0
(77, 32) , (0, 0) , 0
(81, 1) , (0, 0) , 0
(23, 24) , (0, 0) , 0
(5, 35) , (0, 0) , 0
(48, 87) , (0, 0) , 0
(69, 11) , (0, 0) , 0
(5, 74) , (0, 0) , 0
(29, 65) , (0, 0) , 0
(82, 90) , (0, 0) , 0
(87, 79) , (0, 0) , 0
(47, 36) , (0, 0) , 0
(92, 23) , (0, 0) , 0
(76, 68) , (0, 0) , 0
(22, 39) , (0, 0) , 0
(87, 100) , (0, 0) , 0
(48, 23) , (0, 0) , 0
(84, 20) , (0, 0) , 0
(82, 94) , (0, 0) , 0
(44, 44) , (0, 0) , 0
(21, 32) , (0, 0) , 0
(42, 41) , (0, 0) , 0
(9, 95) , (0, 0) , 0
(39, 62) , (0, 0) , 0
(20, 23) , (0, 0) , 0
(76, 85) , (0, 0) , 0
(38, 36) , (0, 0) , 0
(34, 19) , (0, 0) , 0
(33, 72) , (0, 0) , 0
(61, 62) , (0, 0) , 0
(3, 36) , (0, 0) , 0
(12, 35) , (0, 0) , 0
(48, 36) , (0, 0) , 0
(46, 73) , (0, 0) , 0
(84, 24) , (0, 0) , 0
(79, 8) , (0, 0) , 0
(74, 100) , (0, 0) , 0
(94, 99) , (0, 0) , 0
(54, 97) , (0, 0) , 0
(30, 23) , (0, 0) , 0
(9, 78) , (0, 0) , 0
(73, 4) , (0, 0) , 0
(90, 18) , (0, 0) , 0
(15, 55) , (0, 0) , 0
(17, 43) , (0, 0) , 0
(41, 74) , (0, 0) , 0
(35, 77) , (0, 0) , 0
(74, 72) , (0, 0) , 0
(54, 71) , (0, 0) , 0
(35, 51) , (0, 0) , 0
(79, 52) , (0, 0) , 0
(37, 67) , (0, 0) , 0
(78, 8) , (0, 0) , 0
(47, 57) , (0, 0) , 0
(44, 91) , (0, 0) , 0
(74, 15) , (0, 0) , 0
(92, 64) , (0, 0) , 0
(55, 18) , (0, 0) , 0
(92, 82) , (0, 0) , 0
(96, 38) , (0, 0) , 0
(76, 92) , (0, 0) , 0
(85, 95) , (0, 0) , 0
(67, 0) , (0, 0) , 0
(100, 1) , (0, 0) , 0
(82, 76) , (0, 0) , 0
(68, 6) , (0, 0) , 0
(29, 68) , (0, 0) , 0
