(14, 43) , (71, 7) , 0
(15, 17) , (90, 2) , 0
(29, 31) , (36, 32) , 0
(99, 35) , (13, 98) , 0
(20, 85) , (50, 42) , 0
(15, 41) , (34, 0) , 0
(91, 93) , (12, 53) , 0
(89, 60) , (73, 42) , 0
(25, 58) , (43, 89) , 0
(5, 64) , (38, 23) , 0
(93, 45) , (15, 78) , 0
(31, 55) , (46, 23) , 0
(98, 23) , (37, 31) , 0
(43, 46) , (77, 46) , 0
(22, 23) , (21, 66) , 0
(86, 82) , (41, 12) , 0
(46, 64) , (85, 37) , 0
(99, 6) , (7, 22) , 0
(36, 25) , (65, 76) , 0
(74, 48) , (50, 84) , 0
(83, 57) , (47, 46) , 0
(100, 23) , (71, 82) , 0
(54, 45) , (33, 52) , 0
(8, 75) , (53, 91) , 0
(93, 56) , (10, 13) , 0
(96, 4) , (31, 23) , 0
(84, 5) , (43, 29) , 0
(27, 49) , (42, 79) , 0
(97, 59) , (82, 20) , 0
(30, 63) , (56, 88) , 0
(92, 16) , (39, 9) , 0
(98, 5) , (43, 75) , 0
(39, 98) , (80, 75) , 0
(35, 79) , (13, 11) , 0
(7, 86) , (83, 35) , 0
(63, 93) , (17, 95) , 0
(76, 34) , (9, 5) , 0
(91, 30) , (35, 46) , 0
(7, 69) , (41, 61) , 0
(42, 8) , (12, 56) , 0
(12, 14) , (36, 16) , 0
(68, 93) , (41, 0) , 0
(53, 28) , (73, 13) , 0
(93, 37) , (62, 60) , 0
(67, 21) , (56, 49) , 0
(1, 45) , (24, 71) , 0
(19, 37) , (54, 15) , 0
(20, 93) , (77, 73) , 0
(98, 11) , (21, 59) , 0
(95, 46) , (50, 10) , 0
(18, 57) , (85, 43) , 0
(63, 79) , (29, 3) , 0
(6, 48) , (19, 24) , 0
(30, 81) , (39, 46) , 0
(99, 23) , (15, 6) , 0
(74, 33) , (71, 67) , 0
(89, 37) , (80, 50) , 0
(52, 1) , (10, 23) , 0
(6, 16) , (71, 63) , 0
(46, 18) , (95, 56) , 0
(99, 21) , (17, 5) , 0
(89, 8) , (97, 7) , 0
(39, 33) , (60, 39) , 0
(23, 5) , (31, 92) , 0
(48, 1) , (28, 32) , 0
(26, 38) , (14, 49) , 0
(0, 97) , (61, 33) , 0
(42, 67) , (91, 83) , 0
(36, 20) , (97, 40) , 0
(8, 92) , (55, 90) , 0
(51, 73) , (34, 35) , 0
(63, 2) , (20, 36) , 0
(83, 39) , (28, 80) , 0
(91, 30) , (83, 12) , 0
(1, 21) , (95, 91) , 0
(84, 75) , (31, 29) , 0
(33, 57) , (100, 66) , 0
(88, 83) , (90, 17) , 0
(28, 43) , (76, 31) , 0
(76, 83) , (86, 20) , 0
