(100, 73) , (35, 4) , 0
(49, 33) , (23, 21) , 0
(4, 40) , (33, 63) , 0
(73, 83) , (98, 81) , 0
(27, 71) , (56, 38) , 0
(54, 35) , (8, 36) , 0
(66, 71) , (32, 86) , 0
(66, 2) , (44, 9) , 0
(76, 23) , (90, 67) , 0
(51, 98) , (20, 31) , 0
(51, 29) , (7, 53) , 0
(17, 86) , (68, 11) , 0
(73, 13) , (1, 73) , 0
(15, 67) , (57, 98) , 0
(80, 53) , (76, 96) , 0
(46, 49) , (47, 72) , 0
(33, 45) , (97, 43) , 0
(31, 98) , (94, 5) , 0
(14, 83) , (57, 37) , 0
(93, 93) , (36, 13) , 0
(89, 8) , (98, 91) , 0
(27, 77) , (82, 63) , 0
(83, 70) , (64, 14) , 0
(25, 13) , (55, 0) , 0
(2, 19) , (98, 72) , 0
(66, 60) , (35, 58) , 0
(68, 73) , (1, 32) , 0
(79, 52) , (22, 89) , 0
(16, 28) , (74, 62) , 0
(49, 20) , (2, 22) , 0
(16, 41) , (24, 6) , 0
(38, 30) , (16, 75) , 0
(35, 46) , (98, 39) , 0
(12, 59) , (97, 22) , 0
(82, 64) , (89, 15) , 0
(53, 50) , (55, 16) , 0
(10, 60) , (3, 14) , 0
(95, 21) , (48, 61) , 0
(40, 12) , (34, 83) , 0
(64, 57) , (38, 33) , 0
(40, 79) , (73, 76) , 0
(61, 51) , (79, 24) , 0
(7, 74) , (85, 23) , 0
(26, 52) , (71, 36) , 0
(97, 45) , (92, 33) , 0
(16, 87) , (78, 78) , 0
(39, 80) , (27, 68) , 0
(69, 96) , (63, 47) , 0
(33, 36) , (54, 1) , 0
(20, 55) , (7, 83) , 0
(36, 61) , (78, 37) , 0
(12, 39) , (24, 35) , 0
(11, 25) , (68, 82) , 0
(70, 37) , (87, 48) , 0
(69, 97) , (92, 62) , 0
(92, 29) , (18, 98) , 0
(82, 66) , (85, 9) , 0
(70, 38) , (50, 89) , 0
(17, 93) , (32, 91) , 0
(23, 25) , (31, 23) , 0
(28, 28) , (20, 70) , 0
(75, 57) , (51, 42) , 0
(48, 25) , (32, 50) , 0
(14, 88) , (70, 71) , 0
(16, 19) , (24, 33) , 0
(35, 80) , (48, 10) , 0
(26, 13) , (59, 2) , 0
(43, 32) , (86, 20) , 0
(100, 70) , (14, 100) , 0
(36, 68) , (3, 3) , 0
(42, 64) , (24, 54) , 0
(7, 88) , (57, 25) , 0
(27, 29) , (69, 71) , 0
(98, 38) , (17, 66) , 0
(44, 27) , (26, 88) , 0
(78, 92) , (24, 14) , 0
(86, 82) , (67, 100) , 0
(60, 47) , (3, 59) , 0
(92, 85) , (96, 51) , 0
(25, 32) , (20, 52) , 0
(43, 60) , (49, 81) , 0
(62, 79) , (32, 18) , 0
(38, 89) , (14, 13) , 0
(63, 25) , (87, 18) , 0
(28, 4) , (11, 18) , 0
(48, 60) , (96, 48) , 0
(42, 83) , (78, 16) , 0
(11, 7) , (90, 42) , 0
(18, 24) , (5, 53) , 0
(15, 86) , (86, 61) , 0
(9, 39) , (97, 79) , 0
(58, 52) , (28, 43) , 0
(27, 6) , (0, 29) , 0
(87, 29) , (88, 4) , 0
(40, 10) , (55, 44) , 0
(75, 28) , (90, 3) , 0
(97, 21) , (23, 19) , 0
(26, 60) , (53, 9) , 0
(48, 100) , (82, 36) , 0
(8, 52) , (5, 82) , 0
